,musical_title,rate,review_title,review_text,review_date
21,윌리엄과 윌리엄의 윌리엄들,5,넘버맛집 여기!,스토리도 충실하고 어그로 연기하는 짭치도 여기 있어요!!와! 정말 재밌어!!!,2023.05.08
22,윌리엄과 윌리엄의 윌리엄들,5,재미있어요,내용도 재밌고 넘버도 중독적이예요 다시 보러가고 싶은 작품입니다,2023.05.08
23,윌리엄과 윌리엄의 윌리엄들,5,"캐릭터는 아쉽지만, 흥미로운 스토리가 즐거웠어요.","소재가 신선해서 보는 즐거움이 있습니다.  주인공이 호감가는 캐릭터가 아니라는 점이  특색이 있었지만, 조금 아쉽기도 했어요.  그럼에도, 자꾸만 보고싶어지는 공연입니다.  초연에 그치지 않고 롱런하는 작품이 됐으면 좋겠네요.",2023.05.08
24,윌리엄과 윌리엄의 윌리엄들,4,두번봤어요,재밌어요 ^^,2023.05.08
25,윌리엄과 윌리엄의 윌리엄들,5,최고입니다.,주민진 H 최고,2023.05.08
26,윌리엄과 윌리엄의 윌리엄들,5,김지철에이치 좋네요,여러 캐릭터를 생생하게 바꿔서 보여주시네요,2023.05.08
27,윌리엄과 윌리엄의 윌리엄들,5,순종헨리 최고!!,황순종 최고당최고최공!!!,2023.05.08
28,윌리엄과 윌리엄의 윌리엄들,5,갈수록 더 좋은 공연,회차가 거듭 될수록 더더 재밌어지는 공연  이런 훌륭하고도 즐거운 작품이 초연이라니 신기할 따름입니다  늘 너무 감사히 보고 있습니다  사랑합니다,2023.05.08
29,윌리엄과 윌리엄의 윌리엄들,5,임규형 최고,사랑해,2023.05.08
30,윌리엄과 윌리엄의 윌리엄들,5,윌윌윌 잘봤습니다,좋은 자리에서 재밌게 관람했어요,2023.05.08
31,윌리엄과 윌리엄의 윌리엄들,5,재밋어용,넘버가 예술이더라고요,2023.05.08
32,윌리엄과 윌리엄의 윌리엄들,5,재밌어요,"세분 케미가 너무 좋고 넘버, 연출도 너무 좋았습니다!",2023.05.08
33,윌리엄과 윌리엄의 윌리엄들,5,재밌어요,최고당최고최고최고,2023.05.08
34,윌리엄과 윌리엄의 윌리엄들,5,이건 아주 멋진 이야기야,바다로 가자,2023.05.08
35,윌리엄과 윌리엄의 윌리엄들,5,추천,넘버 좋고 배우들 연기도 좋음,2023.05.08
36,윌리엄과 윌리엄의 윌리엄들,5,재밌어요!,재밌어요!,2023.05.08
37,윌리엄과 윌리엄의 윌리엄들,5,윌윌윌,원종환 김지철 황순종 페어 너무 웃기고 재밌었어요 감동까지 최고당 최고최공 페어막이라니ㅠㅠㅠㅠ,2023.05.08
38,윌리엄과 윌리엄의 윌리엄들,5,재밌어요,재밌어요,2023.05.08
