year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2021,뮤지컬 〈프랑켄슈타인〉,블루스퀘어 신한카드홀,2021.11.24 ~2022.02.20,175분(인터미션 20분 포함),중학생이상 관람가,"[11.7, 88.3]","[9.0, 49.6, 25.2, 11.5, 4.1]"
2021,뮤지컬 〈시카고〉,대성 디큐브아트센터,2021.04.02 ~2021.07.18,145분(인터미션 20분 포함),14세 이상 관람가,"[18.5, 81.5]","[6.3, 57.7, 22.6, 8.7, 3.8]"
2021,뮤지컬 〈위키드〉 - 서울 (Musical Wicked),블루스퀘어 신한카드홀(구 인터파크홀),2021.02.12 ~2021.05.02,170분(인터미션 20분 포함),8세이상 관람가능,"[21.7, 78.3]","[5.4, 50.1, 29.3, 11.3, 3.3]"
2021,뮤지컬 〈빌리 엘리어트〉,대성 디큐브아트센터,2021.08.31 ~2022.02.13,175분(인터미션 20분 포함),8세이상 관람가능,"[14.7, 85.3]","[3.9, 28.5, 32.6, 27.7, 6.0]"
2021,뮤지컬 드라큘라 (Dracula：The Musical),블루스퀘어 신한카드홀(구 인터파크홀),2021.05.20 ~2021.08.01,165분(인터미션 20분 포함),14세 이상 관람가,"[14.7, 85.3]","[5.8, 44.7, 30.0, 13.5, 5.1]"
2021,뮤지컬 〈레베카〉,충무아트센터 대극장,2021.11.16 ~2022.02.28,170분(인터미션 20분 포함),8세이상 관람가능,"[24.1, 75.9]","[5.4, 41.1, 32.7, 13.9, 5.8]"
2021,뮤지컬 〈엑스칼리버〉,블루스퀘어 신한카드홀(구 인터파크홀),2021.08.17 ~2021.11.07,160분(인터미션 20분 포함),8세이상 관람가능,"[9.5, 90.5]","[9.7, 47.9, 25.1, 12.1, 4.4]"
2021,뮤지컬 지킬앤하이드 (Jekyll＆Hyde),샤롯데씨어터,2021.10.19 ~2022.05.08,170분(인터미션 20분 포함),14세 이상 관람가,"[24.8, 75.2]","[6.3, 39.1, 30.7, 16.8, 6.0]"
2021,뮤지컬 〈팬텀〉,샤롯데씨어터,2021.03.17 ~2021.06.27,180분(인터미션 20분 포함),8세이상 관람가능,"[22.6, 77.4]","[6.4, 42.9, 27.0, 16.8, 6.1]"
2021,뮤지컬〈하데스타운〉 최초 한국 공연 (MUSICAL HADESTOWN),LG아트센터,2021.09.07 ~2022.02.27,155분(인터미션 20분 포함),미취학아동입장불가,"[11.9, 88.1]","[6.2, 49.6, 27.5, 11.6, 4.2]"
2021,뮤지컬 `노트르담 드 파리` 프렌치 오리지널,세종문화회관 대극장,2021.11.17 ~2021.12.05,150분(인터미션 20분 포함),8세이상 관람가능,"[24.4, 75.6]","[2.7, 32.5, 32.9, 19.9, 9.9]"
2021,뮤지컬 〈그레이트 코멧〉,유니버설아트센터,2021.03.20 ~2021.05.30,160분(인터미션 20분 포함),만 7세이상,"[13.9, 86.1]","[5.0, 38.0, 31.7, 18.2, 5.9]"
2021,2021 뮤지컬 〈광화문 연가〉,예술의전당 오페라극장,2021.07.16 ~2021.09.05,160분(인터미션 20분 포함),8세이상 관람가능,"[21.3, 78.7]","[4.9, 35.1, 26.7, 22.1, 9.5]"
2021,뮤지컬 〈젠틀맨스 가이드 : 사랑과 살인편〉,광림아트센터 BBCH홀,2021.11.13 ~2022.02.20,150분(인터미션 15분 포함),중학생이상 관람가,"[14.6, 85.4]","[5.5, 36.4, 30.4, 20.1, 6.7]"
2021,뮤지컬 〈와일드 그레이〉,대학로 아트원씨어터 1관,2021.06.03 ~2021.08.29,110분,만 15세이상,"[3.5, 96.5]","[5.8, 44.5, 35.6, 10.0, 2.3]"
2021,뮤지컬 〈마리 앙투아네트〉,샤롯데씨어터,2021.07.13 ~2021.10.03,165분(인터미션 15분 포함),8세이상 관람가능,"[15.6, 84.4]","[11.1, 46.0, 21.9, 14.8, 5.2]"
2021,뮤지컬 〈위키드〉 - 부산 초연 (Musical Wicked),부산 드림씨어터,2021.05.20 ~2021.06.27,170분(인터미션 20분 포함),8세이상 관람가능,"[21.1, 78.9]","[4.5, 45.7, 30.1, 14.8, 4.3]"
2021,뮤지컬 〈해적〉,드림아트센터 1관,2021.06.15 ~2021.08.29,110분,만 13세이상,"[4.2, 95.8]","[6.2, 49.3, 32.7, 7.9, 2.1]"
2021,2021 뮤지컬 〈비틀쥬스〉,세종문화회관 대극장,2021.07.06 ~2021.08.08,150분(인터미션 20분 포함),8세이상 관람가능,"[22.9, 77.1]","[4.5, 38.0, 32.0, 19.1, 5.7]"
2021,뮤지컬 〈경종수정실록〉,대학로 아트원씨어터 1관,2021.09.05 ~2021.11.21,110분,만 13세이상,"[3.5, 96.5]","[5.4, 43.8, 35.3, 11.3, 2.3]"
2021,뮤지컬 〈레드북〉,홍익대 대학로 아트센터 대극장,2021.06.04 ~2021.08.26,160분(인터미션 15분 포함),만 13세이상,"[11.6, 88.4]","[8.7, 54.8, 24.3, 9.3, 2.4]"
2021,뮤지컬 〈맨오브라만차〉,충무아트센터 대극장,2021.03.24 ~2021.05.16,170분(인터미션 20분 포함),14세 이상 관람가,"[18.5, 81.5]","[4.2, 33.1, 33.8, 21.4, 6.0]"
2021,뮤지컬 〈명성황후〉 25주년 기념 공연,예술의전당 오페라극장,2021.01.19 ~2021.03.07,160분(인터미션 20분 포함),8세이상 관람가능,"[16.7, 83.3]","[7.6, 35.6, 28.8, 20.0, 6.7]"
2021,뮤지컬 〈몬테크리스토〉 10주년 기념공연,LG아트센터,2020.11.17 ~2021.03.28,160분(인터미션 20분 포함),8세이상 관람가능,"[25.1, 74.9]","[4.0, 34.5, 34.3, 19.9, 6.3]"
2021,미스터쇼(Mr.SHOW),신한pLay 스퀘어 라이브홀,2021.10.01 ~2022.02.13,75분,만 19세이상,"[1.1, 98.9]","[1.7, 55.5, 29.6, 9.8, 2.8]"
2021,뮤지컬 〈브라더스 까라마조프〉,YES24 스테이지 1관,2021.03.13 ~2021.06.13,100분,만 13세이상,"[2.4, 97.6]","[5.1, 46.3, 36.1, 8.2, 2.6]"
2021,뮤지컬 〈팬레터〉,coex 신한카드 artium,2021.12.10 ~2022.03.20,160분(인터미션 15분 포함),14세 이상 관람가,"[5.5, 94.5]","[9.0, 50.7, 27.8, 9.1, 2.6]"
2021,뮤지컬 〈트레이스 유〉,백암아트홀,2021.09.08 ~2021.11.28,105분,중학생이상 관람가,"[3.3, 96.7]","[4.7, 40.3, 37.6, 12.2, 3.0]"
2021,뮤지컬 〈라 레볼뤼시옹〉,대학로 자유극장,2021.05.18 ~2021.08.01,100분,만 15세이상,"[3.1, 96.9]","[3.9, 42.0, 34.2, 13.4, 4.5]"
2021,뮤지컬 〈곤 투모로우〉,홍익대 대학로 아트센터 대극장,2021.12.04 ~2022.02.27,150분(인터미션 20분 포함),8세이상 관람가능,"[2.9, 97.1]","[4.0, 36.9, 38.4, 15.5, 3.5]"
2021,뮤지컬 〈잭더리퍼〉,한전아트센터,2021.12.03 ~2022.02.05,150분(인터미션 20분 포함),만 7세이상,"[14.0, 86.0]","[7.5, 45.6, 26.9, 14.3, 5.3]"
2021,뮤지컬 〈맨오브라만차〉,샤롯데씨어터,2020.12.18 ~2021.03.01,170분(인터미션 20분 포함),14세 이상 관람가,"[20.3, 79.7]","[5.8, 41.3, 31.4, 15.5, 5.0]"
2021,뮤지컬 〈빨래〉,대학로 유니플렉스 2관,2021.11.05 ~2022.05.29,160분(인터미션 15분 포함),14세 이상 관람가,"[28.0, 72.0]","[9.0, 47.3, 24.7, 12.7, 5.8]"
2021,뮤지컬 〈V 에버 애프터〉,예스24스테이지 2관,2021.09.12 ~2021.12.05,95분,만 12세이상,"[4.8, 95.2]","[7.3, 51.4, 31.2, 6.1, 2.2]"
2021,"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",예술의전당 CJ 토월극장,2021.01.05 ~2021.02.28,150분(인터미션 15분 포함),8세이상 관람가능,"[7.6, 92.4]","[10.0, 44.2, 29.3, 11.5, 3.9]"
2021,뮤지컬 〈개와 고양이의 시간〉,드림아트센터 1관,2021.09.08 ~2021.11.28,100분,만 13세이상,"[4.1, 95.9]","[5.8, 47.2, 32.2, 10.4, 2.8]"
2021,"2021 뮤지컬 〈마마,돈크라이〉 10+1주년 기념 공연",두산아트센터 연강홀,2021.05.27 ~2021.08.22,100분,만 14세이상,"[4.0, 96.0]","[3.9, 37.0, 33.4, 18.1, 5.8]"
2021,뮤지컬 〈시카고〉 - 대구,대구오페라하우스,2021.12.17 ~2021.12.26,145분(인터미션 20분 포함),14세 이상 관람가,"[25.8, 74.2]","[7.5, 50.7, 22.9, 12.5, 5.7]"
2021,뮤지컬 〈어쩌면 해피엔딩〉 2021,예스24스테이지 1관,2021.06.22 ~2021.09.05,110분,14세 이상 관람가,"[13.0, 87.0]","[10.3, 52.3, 25.4, 9.5, 2.1]"
2021,뮤지컬〈엔딩 노트〉,대학로 자유극장,2021.11.09 ~2022.01.30,100분,만 13세이상,"[2.8, 97.2]","[7.6, 40.3, 37.9, 9.5, 2.4]"
2021,뮤지컬 창업,SH아트홀,2021.08.27 ~2022.01.30,110분,초등학생이상 관람가,"[2.5, 97.5]","[6.5, 49.5, 29.3, 8.9, 4.9]"
