year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2023,뮤지컬 〈호프 : 읽히지 않은 책과 읽히지 않은 인생〉,대학로 유니플렉스 1관,2023.03.16 ~2023.06.11,110분,중학생이상 관람가,"[10.6, 89.4]","[5.8, 48.1, 28.6, 12.0, 4.9]"
2023,뮤지컬 〈일라이〉,링크아트센터 페이코홀,2023.02.10 ~2023.04.30,150분(인터미션 15분 포함),16세 이상 관람가,"[4.0, 96.0]","[6.4, 47.6, 33.6, 10.0, 1.7]"
2023,뮤지컬 〈비밀의 화원〉,국립정동극장(서울),2023.03.10 ~2023.04.30,100분,8세이상 관람가능,"[10.3, 89.7]","[7.6, 44.9, 30.7, 13.2, 3.0]"
2023,뮤지컬 〈종의 기원〉,드림아트센터 1관,2022.12.18 ~2023.03.05,95분,중학생이상 관람가,"[3.8, 96.2]","[7.7, 42.5, 31.8, 13.3, 3.4]"
2023,식스 더 뮤지컬 최초 한국 공연 - 내한,coex 신한카드 artium,2023.03.10 ~2023.03.26,80분,중학생이상 관람가,"[16.7, 83.3]","[2.8, 36.1, 30.2, 18.9, 10.0]"
2023,2023 뮤지컬 〈은밀하게 위대하게:THE LAST〉,KT＆G 상상마당 대치아트홀,2023.03.04 ~2023.05.07,145분(인터미션 15분 포함),미취학아동입장불가,"[3.4, 96.6]","[3.8, 49.3, 32.3, 9.8, 4.1]"
2023,뮤지컬 〈브라더스 까라마조프〉,예스24스테이지 1관,2023.03.25 ~2023.06.18,100분,만 13세이상,"[3.1, 96.9]","[6.5, 47.7, 33.5, 8.9, 2.1]"
2023,뮤지컬 〈루드윅 : 베토벤 더 피아노〉,예스24스테이지 1관,2022.12.20 ~2023.03.12,110분,만 10세이상,"[8.0, 92.0]","[7.1, 41.5, 29.8, 15.4, 5.0]"
2023,"뮤지컬 〈실비아, 살다〉",대학로 TOM(티오엠) 2관,2023.02.11 ~2023.04.16,120분,만 14세이상,"[8.0, 92.0]","[6.0, 50.9, 31.4, 8.7, 2.6]"
2023,뮤지컬 〈영웅〉 - 부산,부산 드림씨어터,2023.06.27 ~2023.07.02,160분(인터미션 20분 포함),8세이상 관람가능,"[19.7, 80.3]","[3.6, 26.5, 35.6, 27.7, 5.5]"
