year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2022,태양의서커스〈뉴 알레그리아〉,잠실종합운동장 내 빅탑,2022.10.20 ~2023.01.01,140분(인터미션 30분 포함),전체관람가,"[34.1, 65.9]","[1.0, 19.0, 33.7, 32.9, 10.8]"
2022,뮤지컬 〈킹키부츠〉,충무아트센터 대극장,2022.07.20 ~2022.10.23,155분(인터미션 20분 포함),8세이상 관람가능,"[12.1, 87.9]","[5.4, 46.1, 28.3, 14.7, 4.7]"
2022,뮤지컬 〈엘리자벳〉 10주년 기념공연,블루스퀘어 신한카드홀,2022.08.30 ~2022.11.13,170분(인터미션 20분 포함),8세이상 관람가능,"[20.0, 80.0]","[4.9, 37.0, 30.4, 18.0, 8.0]"
2022,뮤지컬 〈아이다〉,블루스퀘어 신한카드홀,2022.05.10 ~2022.08.07,160분(인터미션 20분 포함),8세이상 관람가능,"[20.3, 79.7]","[5.2, 39.0, 28.8, 18.1, 7.5]"
2022,뮤지컬 〈마틸다〉,대성 디큐브아트센터,2022.10.05 ~2023.02.26,160분(인터미션 15분 포함),8세이상 관람가능,"[15.5, 84.5]","[5.6, 26.8, 25.2, 37.2, 4.4]"
2022,뮤지컬 〈웃는 남자〉,세종문화회관 대극장,2022.06.10 ~2022.08.22,180분(인터미션 20분 포함),8세이상 관람가능,"[23.1, 76.9]","[6.5, 43.6, 27.1, 16.0, 5.7]"
2022,뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),블루스퀘어 신한카드홀,2022.12.16 ~2023.03.05,170분(인터미션 20분 포함),14세 이상 관람가,"[20.8, 79.2]","[5.1, 33.1, 33.5, 19.6, 7.2]"
2022,뮤지컬 데스노트 (The Musical Death Note),충무아트센터 대극장,2022.04.01 ~2022.06.19,160분(인터미션 20분 포함),14세 이상 관람가,"[14.0, 86.0]","[6.9, 51.7, 26.6, 10.0, 4.1]"
2022,뮤지컬 데스노트 (The Musical Death Note),예술의전당 오페라극장,2022.07.01 ~2022.08.14,160분(인터미션 20분 포함),14세 이상 관람가,"[17.5, 82.5]","[10.3, 45.9, 23.1, 14.2, 5.6]"
2022,뮤지컬 지킬앤하이드 (Jekyll＆Hyde),샤롯데씨어터,2021.10.19 ~2022.05.08,170분(인터미션 20분 포함),14세 이상 관람가,"[24.8, 75.2]","[6.3, 39.1, 30.7, 16.8, 6.0]"
2022,뮤지컬 〈사의찬미 - 10th Anniversary〉,대학로 TOM(티오엠) 1관,2022.07.27 ~2022.10.09,110분,만 13세이상,"[4.3, 95.7]","[5.7, 48.0, 31.8, 11.2, 2.2]"
2022,뮤지컬 〈미세스 다웃파이어〉,샤롯데씨어터,2022.08.30 ~2022.11.08,175분(인터미션 20분 포함),8세이상 관람가능,"[19.7, 80.3]","[2.4, 25.0, 32.7, 27.3, 10.6]"
2022,뮤지컬 라이온 킹 인터내셔널 투어 - 서울 (Musical The Lion King),예술의전당 오페라극장,2022.01.26 ~2022.03.18,150분(인터미션 20분 포함),8세이상 관람가능,"[31.4, 68.6]","[1.0, 25.9, 41.3, 23.5, 6.9]"
2022,뮤지컬 〈여신님이 보고 계셔〉 10th Anniversary,대학로 유니플렉스 1관,2022.11.08 ~2023.03.01,120분,만 10세이상,"[4.3, 95.7]","[7.8, 48.8, 31.3, 9.1, 2.4]"
2022,뮤지컬 〈마타하리〉,샤롯데씨어터,2022.05.28 ~2022.08.15,180분(인터미션 20분 포함),8세이상 관람가능,"[21.6, 78.4]","[4.6, 33.2, 30.5, 21.2, 8.8]"
2022,뮤지컬 〈브로드웨이 42번가〉,예술의전당 CJ 토월극장,2022.11.05 ~2023.01.15,160분(인터미션 20분 포함),8세이상 관람가능,"[26.4, 73.6]","[3.2, 23.0, 28.7, 27.6, 14.4]"
2022,뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,광림아트센터 BBCH홀,2022.11.10 ~2023.01.15,135분(인터미션 20분 포함),미취학아동입장불가,"[19.6, 80.4]","[4.6, 33.7, 28.2, 19.9, 11.3]"
2022,뮤지컬 〈빨래〉,대학로 유니플렉스 2관,2022.06.10 ~2023.01.29,165분(인터미션 15분 포함),14세 이상 관람가,"[25.6, 74.4]","[8.7, 43.3, 25.3, 14.9, 7.0]"
2022,뮤지컬 〈베토벤; Beethoven Secret〉,예술의전당 오페라극장,2023.01.12 ~2023.03.26,165분(인터미션 20분 포함),8세이상 관람가능,"[24.5, 75.5]","[3.7, 29.1, 32.8, 23.5, 9.2]"
2022,뮤지컬 ＇영웅＇,LG아트센터 서울 LG SIGNATURE 홀,2022.12.21 ~2023.02.28,160분(인터미션 20분 포함),8세이상 관람가능,"[26.9, 73.1]","[4.7, 31.7, 31.8, 24.4, 6.6]"
2022,뮤지컬 〈웨스트 사이드 스토리〉,충무아트센터 대극장,2022.11.17 ~2023.02.26,175분(인터미션 20분 포함),14세 이상 관람가,"[12.2, 87.8]","[6.2, 34.5, 29.5, 19.1, 8.9]"
2022,뮤지컬 〈프랑켄슈타인〉,블루스퀘어 신한카드홀,2021.11.24 ~2022.02.20,175분(인터미션 20분 포함),중학생이상 관람가,"[11.7, 88.3]","[9.0, 49.6, 25.2, 11.5, 4.1]"
2022,뮤지컬 〈서편제〉,광림아트센터 BBCH홀,2022.08.12 ~2022.10.23,155분(인터미션 20분 포함),8세이상 관람가능,"[17.6, 82.4]","[3.9, 40.0, 32.4, 14.7, 6.5]"
2022,베어 더 뮤지컬(bare the musical),두산아트센터 연강홀,2022.06.22 ~2022.09.18,165분(인터미션 15분 포함),만 15세이상,"[6.2, 93.8]","[10.3, 48.0, 30.0, 8.2, 2.4]"
2022,뮤지컬 〈스위니토드〉,샤롯데씨어터,2022.12.01 ~2023.03.05,170분(인터미션 20분 포함),14세 이상 관람가,"[18.0, 82.0]","[9.8, 40.6, 27.9, 15.3, 5.6]"
2022,뮤지컬 〈웨스턴 스토리〉,대학로 유니플렉스 1관,2022.03.04 ~2022.05.22,145분(인터미션 15분 포함),만 13세이상,"[5.7, 94.3]","[4.5, 42.5, 36.4, 13.0, 2.2]"
2022,뮤지컬 〈팬레터〉,coex 신한카드 artium,2021.12.10 ~2022.03.20,160분(인터미션 15분 포함),14세 이상 관람가,"[5.5, 94.5]","[9.0, 50.7, 27.8, 9.1, 2.6]"
2022,뮤지컬 〈배니싱〉,대학로 아트원씨어터 1관,2022.08.30 ~2022.11.13,110분,만 13세이상,"[2.6, 97.4]","[6.3, 46.1, 32.3, 11.4, 2.6]"
2022,뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,세종문화회관 대극장,2023.01.20 ~2023.03.12,160분(인터미션 20분 포함),8세이상 관람가능,"[27.7, 72.3]","[3.2, 26.3, 27.7, 29.1, 11.7]"
2022,뮤지컬 〈미오 프라텔로〉,드림아트센터 1관,2022.03.08 ~2022.06.19,100분,중학생이상 관람가,"[2.8, 97.2]","[4.3, 42.4, 37.2, 11.1, 3.4]"
2022,뮤지컬 〈빌리 엘리어트〉,대성 디큐브아트센터,2021.08.31 ~2022.02.13,175분(인터미션 20분 포함),8세이상 관람가능,"[14.7, 85.3]","[3.9, 28.5, 32.6, 27.7, 6.0]"
2022,뮤지컬 〈니진스키〉,대학로 아트원씨어터 1관,2022.05.24 ~2022.08.21,105분,14세 이상 관람가,"[3.0, 97.0]","[4.1, 39.6, 37.5, 14.5, 2.8]"
2022,뮤지컬 〈빨래〉,대학로 유니플렉스 2관,2021.11.05 ~2022.05.29,160분(인터미션 15분 포함),14세 이상 관람가,"[28.0, 72.0]","[9.0, 47.3, 24.7, 12.7, 5.8]"
2022,뮤지컬 〈사랑의 불시착〉,coex 신한카드 artium,2022.09.16 ~2022.11.13,170분(인터미션 20분 포함),8세이상 관람가능,"[16.5, 83.5]","[6.8, 39.0, 30.9, 16.5, 5.9]"
2022,육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,디큐브 링크아트센터,2022.03.18 ~2022.05.08,150분(인터미션 15분 포함),8세이상 관람가능,"[2.6, 97.4]","[4.0, 46.5, 33.6, 12.9, 2.4]"
2022,뮤지컬 〈브론테〉,대학로 자유극장,2022.09.04 ~2022.11.13,90분,8세이상 관람가능,"[7.6, 92.4]","[9.6, 57.2, 24.9, 6.0, 1.7]"
2022,블루맨그룹 월드투어,coex 신한카드 artium,2022.06.15 ~2022.08.07,90분,6세이상,"[37.0, 63.0]","[0.6, 10.8, 31.9, 43.8, 11.0]"
2022,뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),부산 드림씨어터,2022.04.01 ~2022.05.08,150분(인터미션 20분 포함),미취학아동입장불가,"[27.5, 72.5]","[0.6, 23.7, 38.0, 29.7, 6.7]"
2022,뮤지컬 〈리지〉,두산아트센터 연강홀,2022.03.24 ~2022.06.12,120분(인터미션 15분 포함),고등학생이상 관람가,"[7.6, 92.4]","[5.9, 58.8, 25.7, 6.7, 2.4]"
2022,뮤지컬 〈랭보〉,대학로 TOM(티오엠) 1관,2022.10.18 ~2023.01.01,120분,14세 이상 관람가,"[3.9, 96.1]","[7.2, 45.0, 32.8, 11.2, 2.7]"
2022,뮤지컬 〈레베카〉,충무아트센터 대극장,2021.11.16 ~2022.02.28,170분(인터미션 20분 포함),8세이상 관람가능,"[24.1, 75.9]","[5.4, 41.1, 32.7, 13.9, 5.8]"
2022,뮤지컬 〈디아길레프〉,대학로 아트원씨어터 1관,2022.02.23 ~2022.05.15,100분,14세 이상 관람가,"[3.1, 96.9]","[3.5, 40.0, 39.3, 13.7, 2.1]"
2022,뮤지컬〈하데스타운〉 최초 한국 공연 (MUSICAL HADESTOWN),LG아트센터,2021.09.07 ~2022.02.27,155분(인터미션 20분 포함),미취학아동입장불가,"[11.9, 88.1]","[6.2, 49.6, 27.5, 11.6, 4.2]"
2022,뮤지컬 〈곤 투모로우〉,홍익대 대학로 아트센터 대극장,2021.12.04 ~2022.02.27,150분(인터미션 20분 포함),8세이상 관람가능,"[2.9, 97.1]","[4.0, 36.9, 38.4, 15.5, 3.5]"
2022,뮤지컬 〈V 에버 애프터〉,드림아트센터 1관,2022.07.12 ~2022.09.12,95분,만 12세이상,"[3.8, 96.2]","[6.8, 50.6, 31.8, 7.0, 2.0]"
2022,뮤지컬 〈미아 파밀리아〉,예스24스테이지 2관,2022.06.11 ~2022.09.04,110분,중학생이상 관람가,"[2.2, 97.8]","[7.8, 49.5, 31.3, 7.8, 2.4]"
2022,뮤지컬 킹아더 (Musical King Arthur),홍익대 대학로 아트센터 대극장,2022.03.22 ~2022.06.06,150분(인터미션 20분 포함),8세이상 관람가능,"[8.0, 92.0]","[3.2, 29.7, 31.3, 24.7, 8.8]"
2022,뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,블루스퀘어 신한카드홀,2022.02.25 ~2022.03.18,150분(인터미션 20분 포함),8세이상 관람가능,"[29.2, 70.8]","[1.9, 30.4, 34.0, 19.9, 12.1]"
2022,와일드 와일드 〈드림〉,와일드 와일드 전용관 (명보아트홀),2022.09.16 ~2023.09.10,75분,만 19세이상,"[1.1, 98.9]","[1.8, 39.4, 42.3, 13.9, 2.3]"
2022,뮤지컬 〈이프덴〉,홍익대 대학로 아트센터 대극장,2022.12.08 ~2023.02.26,165분(인터미션 15분 포함),16세 이상 관람가,"[11.1, 88.9]","[7.7, 49.3, 27.5, 10.4, 3.9]"
