year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2019,뮤지컬 〈아이다〉,블루스퀘어 인터파크홀,2019.11.13 ~2020.02.23,165분(인터미션 20분 포함),8세이상 관람가능,"[26.6, 73.4]","[4.0, 32.1, 33.8, 20.9, 7.9]"
2019,뮤지컬 〈스위니토드〉,샤롯데씨어터,2019.10.02 ~2020.01.27,165분(인터미션 20분 포함),중학생이상 관람가,"[18.8, 81.2]","[6.6, 38.1, 34.3, 15.9, 4.5]"
2019,뮤지컬 〈그날들〉,블루스퀘어 인터파크홀,2019.02.22 ~2019.05.06,165분(인터미션 20분 포함),8세이상 관람가능,"[14.8, 85.2]","[6.3, 35.9, 33.7, 17.0, 5.7]"
2019,뮤지컬 〈벤허〉,블루스퀘어 인터파크홀,2019.07.30 ~2019.10.13,155분(인터미션 20분 포함),만 7세이상,"[16.0, 84.0]","[5.9, 37.0, 31.4, 18.5, 6.0]"
2019,뮤지컬 〈레베카〉,충무아트센터 대극장,2019.11.16 ~2020.03.15,170분(인터미션 20분 포함),8세이상 관람가능,"[23.5, 76.5]","[4.3, 36.2, 34.7, 17.4, 6.3]"
2019,뮤지컬 〈지킬앤하이드〉,샤롯데씨어터,2018.11.13 ~2019.05.19,170분(인터미션 20분 포함),만 7세이상,"[19.1, 80.9]","[6.4, 39.1, 33.2, 16.4, 4.2]"
2019,뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,부산 드림씨어터,2019.04.11 ~2019.05.26,150분(인터미션 15분 포함),8세이상 관람가능,"[27.3, 72.7]","[0.8, 28.7, 39.1, 23.8, 6.2]"
2019,뮤지컬 〈사의찬미〉,대학로 TOM(티오엠) 1관,2019.07.06 ~2019.10.20,110분,만 13세이상,"[3.9, 96.1]","[7.3, 47.1, 34.1, 8.4, 1.9]"
2019,뮤지컬〈맘마미아!〉,LG아트센터,2019.07.14 ~2019.09.14,160분(인터미션 20분 포함),8세이상 관람가능,"[26.7, 73.3]","[2.3, 28.7, 29.4, 28.1, 9.7]"
2019,뮤지컬 〈마리 앙투아네트〉,디큐브아트센터,2019.08.24 ~2019.11.17,180분(인터미션 20분 포함),8세이상 관람가능,"[16.1, 83.9]","[6.2, 36.2, 32.3, 17.1, 6.7]"
2019,뮤지컬 〈영웅〉 10주년 기념공연,세종문화회관 대극장,2019.03.09 ~2019.04.21,160분(인터미션 20분 포함),만 7세이상,"[29.2, 70.8]","[2.8, 34.2, 35.6, 21.6, 4.9]"
2019,뮤지컬 안나 카레니나,블루스퀘어 인터파크홀,2019.05.17 ~2019.07.14,150분(인터미션 20분 포함),미취학아동입장불가,"[25.7, 74.3]","[3.0, 29.4, 33.3, 22.1, 10.0]"
2019,미스터쇼(Mr.SHOW),신한pLay 스퀘어 라이브홀,2019.09.20 ~2020.02.16,75분,만 19세이상,"[1.5, 98.5]","[1.3, 49.5, 31.7, 13.9, 3.4]"
2019,뮤지컬 〈영웅〉 10주년 기념공연,예술의전당 오페라극장,2019.07.23 ~2019.08.21,160분(인터미션 20분 포함),8세이상 관람가능,"[29.0, 71.0]","[3.8, 31.6, 29.7, 28.3, 5.7]"
2019,뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),부산 드림씨어터,2019.12.13 ~2020.02.09,150분(인터미션 20분 포함),미취학아동입장불가,"[28.4, 71.6]","[3.1, 28.1, 30.3, 26.8, 10.2]"
2019,뮤지컬 〈헤드윅〉,홍익대 대학로 아트센터 대극장,2019.08.16 ~2019.11.03,120분,만 15세이상,"[10.7, 89.3]","[4.5, 36.2, 38.0, 16.2, 4.3]"
2019,뮤지컬 〈오페라의 유령〉 월드투어 - 서울(The Phantom of the Opera),블루스퀘어 인터파크홀,2020.03.14 ~2020.08.07,150분(인터미션 20분 포함),8세이상 관람가능,"[33.3, 66.7]","[3.0, 34.8, 30.8, 20.4, 9.6]"
2019,뮤지컬《엑스칼리버》,세종문화회관 대극장,2019.06.15 ~2019.08.04,175분(인터미션 20분 포함),8세이상 관람가능,"[13.9, 86.1]","[5.1, 35.9, 30.7, 20.2, 6.7]"
2019,뮤지컬 〈엘리자벳〉,블루스퀘어 인터파크홀,2018.11.17 ~2019.02.10,170분(인터미션 20분 포함),8세이상 관람가능,"[16.1, 83.9]","[4.8, 42.0, 30.7, 16.0, 5.3]"
2019,뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),예술의전당 오페라극장,2019.01.09 ~2019.03.28,150분,8세이상 관람가능,"[29.3, 70.7]","[1.3, 36.5, 39.0, 17.0, 5.2]"
2019,뮤지컬 〈김종욱찾기〉 - 서울 대학로,컬처스페이스 엔유,2016.06.17 ~2020.12.31,100분,만 7세이상,"[30.5, 69.5]","[8.9, 42.9, 27.8, 15.6, 4.2]"
2019,뮤지컬 〈팬레터〉,두산아트센터 연강홀,2019.11.07 ~2020.02.02,145분(인터미션 15분 포함),중학생이상 관람가,"[4.9, 95.1]","[9.1, 46.8, 32.3, 8.9, 2.0]"
2019,ALL NEW! 뮤지컬 〈그리스〉,디큐브아트센터,2019.04.30 ~2019.08.11,165분(인터미션 20분 포함),8세이상 관람가능,"[22.6, 77.4]","[3.5, 32.9, 31.4, 23.7, 7.4]"
2019,뮤지컬 〈보디가드〉,LG아트센터,2019.11.28 ~2020.02.23,140분(인터미션 20분 포함),8세이상 관람가능,"[35.1, 64.9]","[1.0, 24.7, 39.8, 24.1, 8.4]"
2019,뮤지컬 〈신흥무관학교〉,광림아트센터 BBCH홀,2019.02.27 ~2019.04.21,165분(인터미션 20분 포함),만 7세이상,"[9.1, 90.9]","[6.0, 39.6, 32.3, 16.6, 4.6]"
2019,뮤지컬 〈여신님이 보고 계셔〉,대학로 유니플렉스 1관,2019.11.16 ~2020.03.01,120분,만 10세이상,"[6.0, 94.0]","[8.1, 48.7, 31.3, 9.3, 2.0]"
2019,뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),샤롯데씨어터,2019.06.07 ~2019.08.25,160분(인터미션 20분 포함),8세이상 관람가능,"[30.4, 69.6]","[1.5, 20.0, 30.6, 39.5, 7.3]"
