year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2020,뮤지컬 〈오페라의 유령〉 월드투어 - 서울(The Phantom of the Opera),블루스퀘어 인터파크홀,2020.03.14 ~2020.08.07,150분(인터미션 20분 포함),8세이상 관람가능,"[33.3, 66.7]","[3.0, 34.8, 30.8, 20.4, 9.6]"
2020,뮤지컬 〈모차르트!〉 10주년 기념공연,세종문화회관 대극장,2020.06.16 ~2020.08.20,175분(인터미션 20분 포함),8세이상 관람가능,"[20.8, 79.2]","[5.7, 46.2, 27.4, 14.8, 5.1]"
2020,뮤지컬 드라큘라 (Dracula：The Musical),샤롯데씨어터,2020.02.11 ~2020.06.07,165분(인터미션 20분 포함),14세 이상 관람가,"[13.1, 86.9]","[4.7, 46.2, 31.8, 12.9, 3.7]"
2020,뮤지컬 〈킹키부츠〉,블루스퀘어 인터파크홀,2020.08.21 ~2020.11.01,155분(인터미션 20분 포함),8세이상 관람가능,"[13.4, 86.6]","[5.8, 46.3, 30.0, 13.3, 3.7]"
2020,뮤지컬 〈브로드웨이42번가〉,샤롯데씨어터,2020.06.20 ~2020.08.23,160분(인터미션 20분 포함),8세이상 관람가능,"[27.2, 72.8]","[2.6, 29.9, 33.3, 23.1, 9.7]"
2020,뮤지컬 〈렌트〉,대성 디큐브아트센터,2020.06.13 ~2020.08.22,160분(인터미션 20분 포함),14세 이상 관람가,"[16.2, 83.8]","[5.5, 42.5, 32.3, 14.8, 4.1]"
2020,뮤지컬 〈아이다〉,블루스퀘어 인터파크홀,2019.11.13 ~2020.02.23,165분(인터미션 20분 포함),8세이상 관람가능,"[26.6, 73.4]","[4.0, 32.1, 33.8, 20.9, 7.9]"
2020,뮤지컬 〈비스티〉,서경대학교 공연예술센터 스콘1관,2020.08.30 ~2020.11.15,120분,만 13세이상,"[3.2, 96.8]","[5.4, 45.1, 37.0, 8.6, 2.5]"
2020,뮤지컬 〈레베카〉,충무아트센터 대극장,2019.11.16 ~2020.03.15,170분(인터미션 20분 포함),8세이상 관람가능,"[23.5, 76.5]","[4.3, 36.2, 34.7, 17.4, 6.3]"
2020,뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),샤롯데씨어터,2020.09.09 ~2020.12.06,160분(인터미션 20분 포함),8세이상 관람가능,"[31.4, 68.6]","[3.1, 36.4, 31.3, 20.3, 7.6]"
2020,뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),블루스퀘어 인터파크홀,2020.11.10 ~2021.01.03,150분(인터미션 20분 포함),8세이상 관람가능,"[34.4, 65.6]","[2.8, 32.4, 32.9, 19.8, 10.7]"
2020,뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,무이자할부,2020.09.24 ~2020.09.26,160분(인터미션 20분 포함),만 7세이상,"[3.2, 96.8]","[10.6, 57.6, 21.7, 8.0, 1.8]"
2020,베어 더 뮤지컬(bare the musical),두산아트센터 연강홀,2020.05.29 ~2020.08.23,165분(인터미션 15분 포함),만 15세이상,"[6.8, 93.2]","[11.5, 49.8, 28.7, 7.5, 1.7]"
2020,"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",홍익대 대학로 아트센터 대극장,2020.02.14 ~2020.05.24,150분(인터미션 15분 포함),8세이상 관람가능,"[6.6, 93.4]","[3.5, 38.5, 39.8, 14.1, 3.1]"
